table,file_count,total_bytes,min_bytes,max_bytes,average_bytes,row_count,aggregate_hash
silver.stg_orders,1,66552,66552,66552,66552.0,1800,bdba28bbfc398cab633fb6851dc02e1f8a45abdaa86d9d11aed35c8302cd209d
silver.stg_order_items,1,114041,114041,114041,114041.0,6756,6b892aa78667d2f001660908ff9632e68078fe33b7c3484fe4290b9379015672
gold.fact_order,7,146452,19147,22438,20921.714285714286,1800,f4002002c04ef6f1e9fdfc8d26222bf6c6dc94f86c2d8c3bdd6cd218bb185425
gold.fact_order_item,7,357867,44322,56675,51123.857142857145,6756,9f4abc6265dc9ca11f3b6ec191f8aeec5ee590ef0cd19f85fe32bfa66be109e1
