table,file_count,total_bytes,min_bytes,max_bytes,average_bytes,row_count,aggregate_hash
silver.stg_orders,1,66552,66552,66552,66552.0,1800,6fd2502b6e457d25a05d71d1cc1f2cf6745a8598d51f169ae3152f4644d6d6bf
silver.stg_order_items,1,114041,114041,114041,114041.0,6756,ca567c19b9906f2c8602b87ed2220b7a9757908664f0df23a19092fd70e22d44
gold.fact_order,13,205612,14343,19656,15816.307692307691,1800,f4002002c04ef6f1e9fdfc8d26222bf6c6dc94f86c2d8c3bdd6cd218bb185425
gold.fact_order_item,13,459745,30023,45823,35365.0,6756,9f4abc6265dc9ca11f3b6ec191f8aeec5ee590ef0cd19f85fe32bfa66be109e1
